medicine_id,name,category,composition,use_for,price,brand,side_effects,prescription_required
38,Eryvir38,Bronchodilator,Salbutamol 100mcg,Hepatitis,78.11,PharmaCore,rash,False
39,Naprosone39,Antihistamine,Ibuprofen 200mg,Cancer,11.34,BioHeal,photosensitivity,False
40,Tetraol40,Antacid,Metformin 500mg,Allergic Reaction,63.44,HealthPlus,"palpitations, drowsiness, stomach upset",True
41,Fluorsone41,Analgesic,Azithromycin 250mg,Diabetes Mellitus,24.97,NovaMed,"stomach upset, dry cough, insomnia",True
42,Gentaazole42,Bronchodilator,Azithromycin 250mg,Malaria,40.51,MedicaLife,"palpitations, constipation",True
43,Vitazol43,Antihistamine,Amoxicillin 500mg,Infection,93.71,CuraPharm,"palpitations, rash, dry cough",True
44,Ketovir44,Antipyretic,Salbutamol 100mcg,Hypothyroidism,45.42,ZenPharm,"nausea, headache",True
45,Hydroamide45,Bronchodilator,Paracetamol 500mg,Laryngitis,17.75,AeroHealth,"constipation, vomiting",True
46,Curadine46,Antacid,Amlodipine 5mg,Dermatitis,26.9,BioHeal,"dry cough, nausea, dizziness",True
47,Fluormab47,Antihistamine,Ibuprofen 200mg,Laryngitis,41.72,ZenPharm,"palpitations, photosensitivity",False
48,Naprooxetine48,Analgesic,Azithromycin 250mg,Kidney Disease,53.48,ZenPharm,"nausea, headache",True
49,Lactocin49,Antidepressant,Amlodipine 5mg,Gastritis,43.45,AeroHealth,"headache, rash",False
50,Naproazole50,Antidepressant,Paracetamol 500mg,Typhoid,77.1,HealthPlus,dizziness,False
51,Acepmab51,Bronchodilator,Salbutamol 100mcg,Laryngitis,10.72,AeroHealth,"dry mouth, drowsiness, photosensitivity",False
52,Lactostat52,Bronchodilator,Amlodipine 5mg,Vitamin Deficiency,73.09,MedicaLife,"palpitations, stomach upset",False
53,Curadine53,Bronchodilator,Azithromycin 250mg,Costochondritis,64.55,PharmaCore,"dry cough, constipation, nausea",False
54,Sulfstat54,Antidiabetic,Amlodipine 5mg,Herniated Disc,89.27,BioHeal,"nausea, photosensitivity",True
55,Doloamide55,Antihypertensive,Cetirizine 10mg,Kidney Stones,62.82,NovaMed,"constipation, dry mouth, palpitations",True
56,Parapril56,Bronchodilator,Losartan 50mg,PTSD,56.73,HealthPlus,insomnia,False
57,Hydroprazole57,Antibiotic,Ibuprofen 200mg,Herniated Disc,7.58,CuraPharm,"vomiting, constipation, dizziness",False
58,Naprooxetine58,Antifungal,Ibuprofen 200mg,Gastroenteritis,64.54,BioHeal,"dry mouth, vomiting",False
59,Dolosone59,Antipyretic,Cetirizine 10mg,Sinusitis,10.99,AeroHealth,"nausea, stomach upset, rash",True
60,Lactopril60,Antipyretic,Omeprazole 20mg,Anemia,92.87,ZenPharm,"rash, insomnia",False
61,Ketopril61,Vitamin,Omeprazole 20mg,Sciatica,73.88,CuraPharm,"dry cough, dry mouth, drowsiness",True
62,Fluorol62,Antidiabetic,Ibuprofen 200mg,Angina,33.05,HealthPlus,"dizziness, photosensitivity",True
63,Curaazole63,Bronchodilator,Cetirizine 10mg,Allergic Rhinitis,25.97,ZenPharm,headache,False
64,Rifaprazole64,Antihistamine,Amoxicillin 500mg,Cancer,65.95,CuraPharm,vomiting,True
65,Gentamab65,Antidepressant,Ibuprofen 200mg,Aging,78.6,CuraPharm,"palpitations, stomach upset, constipation",True
66,Oxasone66,Antihistamine,Omeprazole 20mg,Depression,9.88,NovaMed,"drowsiness, insomnia, dry cough",True
67,Tetrasone67,Antifungal,Paracetamol 500mg,Stress,92.32,ZenPharm,"headache, constipation, nausea",False
68,Lactooxetine68,Antihypertensive,Metformin 500mg,Deep Vein Thrombosis,43.9,CuraPharm,"headache, constipation",True
69,Acepmab69,Antidepressant,Salbutamol 100mcg,Pregnancy,98.99,MedicaLife,"rash, headache",True
70,Parapril70,Antibiotic,Salbutamol 100mcg,Lupus,19.83,HealthPlus,"dizziness, insomnia",True
71,Hydrovir71,Antiviral,Metformin 500mg,Vitamin B12 Deficiency,42.26,PharmaCore,headache,True
72,Ketool72,Antihistamine,Losartan 50mg,Dry Nose,84.43,ZenPharm,"palpitations, headache, diarrhea",False
73,Rifaol73,Antihypertensive,Losartan 50mg,Stroke,76.77,CuraPharm,"palpitations, photosensitivity, insomnia",False
74,Ibumab74,Antipyretic,Azithromycin 250mg,Heart Failure,17.4,AeroHealth,"nausea, headache, vomiting",False
75,Eryol75,Antihypertensive,Losartan 50mg,Anxiety,32.78,PharmaCore,"headache, rash, palpitations",False
76,Eryvir76,Antihypertensive,Losartan 50mg,Generalized Anxiety Disorder,80.42,PharmaCore,"palpitations, vomiting",False
77,Oxazol77,Antibiotic,Amoxicillin 500mg,Anxiety,77.38,MedicaLife,dry mouth,False
78,Sulfdine78,Antibiotic,Amoxicillin 500mg,Arthritis,70.97,HealthPlus,"dizziness, diarrhea, stomach upset",True
79,Dolozol79,Antidiabetic,Amlodipine 5mg,Prostate Enlargement,78.06,ZenPharm,"photosensitivity, nausea",False
80,Curamab80,Antihistamine,Cetirizine 10mg,Anxiety Disorder,35.93,ZenPharm,"drowsiness, photosensitivity, dry mouth",True
81,Metroprazole81,Antidiabetic,Metformin 500mg,Generalized Anxiety Disorder,10.59,ZenPharm,"dry cough, insomnia, stomach upset",False
82,Erycin82,Antihistamine,Amlodipine 5mg,Dry Nose,4.79,BioHeal,"dry cough, drowsiness, dry mouth",False
83,Ketostat83,Antibiotic,Azithromycin 250mg,HIV,81.28,PharmaCore,stomach upset,True
84,Lactool84,Antihistamine,Amlodipine 5mg,Typhoid,42.18,NovaMed,dizziness,True
85,Dolozol85,Bronchodilator,Amoxicillin 500mg,Blood Disorder,16.42,MedicaLife,dry mouth,True
86,Doloin86,Antihistamine,Losartan 50mg,Jaundice,50.67,ZenPharm,"drowsiness, dry cough, insomnia",True
87,Acepcin87,Antacid,Salbutamol 100mcg,Dehydration,80.57,NovaMed,"stomach upset, vomiting",True
88,Curazol88,Antihypertensive,Amlodipine 5mg,Tuberculosis,92.21,NovaMed,"nausea, rash, dry cough",False
89,Gentasone89,Antihypertensive,Losartan 50mg,Appendicitis,7.56,NovaMed,"dry cough, photosensitivity, nausea",True
90,Doloazole90,Bronchodilator,Metformin 500mg,Peptic Ulcer Disease,10.38,CuraPharm,constipation,True
91,Metroolol91,Antihistamine,Ibuprofen 200mg,Prostatitis,76.43,NovaMed,"photosensitivity, dizziness, constipation",False
92,Gentaoxetine92,Antiviral,Azithromycin 250mg,Appendicitis,37.19,NovaMed,diarrhea,True
93,Hydropril93,Antipyretic,Losartan 50mg,IBS,92.18,MedicaLife,"photosensitivity, insomnia, dry mouth",False
94,Eryolol94,Bronchodilator,Amlodipine 5mg,Parkinson’s Disease,89.82,NovaMed,stomach upset,False
95,Ibuol95,Antiviral,Paracetamol 500mg,Heart Failure,23.73,AeroHealth,"headache, dry cough, nausea",True
96,Bactoazole96,Antacid,Amoxicillin 500mg,Cholera,5.06,CuraPharm,"rash, palpitations",True
97,Ketostat97,Bronchodilator,Metformin 500mg,Stress,60.66,PharmaCore,"rash, stomach upset",True
98,Curavir98,Analgesic,Metformin 500mg,Viral Fever,97.94,NovaMed,"nausea, headache",True
99,Aceppril99,Antidepressant,Cetirizine 10mg,Cluster Headache,80.27,AeroHealth,"insomnia, photosensitivity",False
100,Paraprazole100,Antihistamine,Salbutamol 100mcg,Anemia,84.95,NovaMed,"rash, nausea",False
101,Curavir101,Bronchodilator,Amlodipine 5mg,Sepsis,43.87,NovaMed,"constipation, drowsiness, insomnia",True
102,Sulfolol102,Antihistamine,Salbutamol 100mcg,Chronic Fatigue Syndrome,26.74,BioHeal,rash,True
103,Parastat103,Vitamin,Azithromycin 250mg,COPD,61.08,ZenPharm,"headache, insomnia",True
104,Sulfpril104,Antidepressant,Ibuprofen 200mg,Tension Headache,36.03,AeroHealth,diarrhea,False
105,Acepdine105,Antifungal,Metformin 500mg,HIV,24.97,NovaMed,"dry cough, stomach upset",True
106,Curazol106,Antihypertensive,Cetirizine 10mg,Peptic Ulcer Disease,14.6,NovaMed,vomiting,False
107,Lactoazole107,Antihistamine,Amlodipine 5mg,Dementia,88.48,ZenPharm,dry cough,True
108,Vitaamide108,Bronchodilator,Azithromycin 250mg,Dengue Fever,37.21,CuraPharm,constipation,False
109,Rifain109,Antihistamine,Ibuprofen 200mg,Costochondritis,12.17,PharmaCore,"drowsiness, insomnia, dry cough",False
110,Oxaolol110,Antibiotic,Omeprazole 20mg,Low Blood Pressure,46.89,ZenPharm,"diarrhea, dry mouth",True
111,Eryolol111,Antidiabetic,Amlodipine 5mg,COPD,81.06,PharmaCore,palpitations,True
112,Ketodine112,Vitamin,Salbutamol 100mcg,Low Blood Pressure,51.92,NovaMed,"stomach upset, rash, vomiting",False
113,Metrovir113,Antidiabetic,Paracetamol 500mg,Flu,50.71,HealthPlus,"vomiting, insomnia, stomach upset",True
114,Sulfoxetine114,Antihistamine,Salbutamol 100mcg,COPD,39.01,HealthPlus,"dry mouth, constipation, palpitations",True
115,Quinmab115,Antibiotic,Ibuprofen 200mg,Dry Nose,44.39,ZenPharm,dizziness,False
116,Rifasone116,Antidepressant,Omeprazole 20mg,Bronchitis,62.74,HealthPlus,"dizziness, dry cough, palpitations",True
117,Vitasone117,Bronchodilator,Losartan 50mg,Clotting Disorder,71.81,AeroHealth,"nausea, dizziness, vomiting",True
118,Lactodine118,Antidepressant,Omeprazole 20mg,UTI,95.36,CuraPharm,"rash, insomnia",True
119,Eryol119,Antipyretic,Ibuprofen 200mg,Throat Cancer,69.9,BioHeal,"headache, dizziness, photosensitivity",True
120,Oxasone120,Antidiabetic,Azithromycin 250mg,Brain Tumor,38.03,NovaMed,"headache, stomach upset, dizziness",False
121,Sulfol121,Bronchodilator,Salbutamol 100mcg,Sepsis,41.5,ZenPharm,dizziness,False
122,Rifain122,Antidepressant,Azithromycin 250mg,Cholera,11.44,NovaMed,"headache, vomiting, dizziness",True
123,Rifaprazole123,Antihypertensive,Metformin 500mg,Laryngitis,22.7,ZenPharm,"drowsiness, vomiting, nausea",True
124,Parain124,Antifungal,Metformin 500mg,Prostate Enlargement,63.11,ZenPharm,"palpitations, dry cough",False
125,Paradine125,Antibiotic,Cetirizine 10mg,Asthma,25.45,NovaMed,drowsiness,False
126,Quinstat126,Analgesic,Amoxicillin 500mg,Voice Overuse,67.89,HealthPlus,"insomnia, diarrhea, drowsiness",False
127,Quinamide127,Antifungal,Ibuprofen 200mg,Eczema,27.84,MedicaLife,drowsiness,False
128,Fluordine128,Antidepressant,Amoxicillin 500mg,Allergy,8.49,ZenPharm,dry mouth,True
129,Ketool129,Antihypertensive,Paracetamol 500mg,Cancer,2.73,MedicaLife,"stomach upset, dry cough",True
130,Dolostat130,Antacid,Paracetamol 500mg,Depression,84.96,PharmaCore,photosensitivity,False
131,Quinin131,Bronchodilator,Salbutamol 100mcg,Hypothyroidism,94.46,PharmaCore,"diarrhea, nausea, vomiting",False
132,Bactooxetine132,Bronchodilator,Paracetamol 500mg,Deep Vein Thrombosis,63.93,AeroHealth,"vomiting, headache, nausea",True
133,Rifavir133,Bronchodilator,Cetirizine 10mg,Leukemia,24.91,NovaMed,"headache, diarrhea",False
134,Ketomab134,Antacid,Paracetamol 500mg,Pneumonia,37.27,ZenPharm,"dizziness, palpitations",False
135,Paraoxetine135,Antiviral,Azithromycin 250mg,Allergy,89.14,HealthPlus,"dry cough, headache, constipation",False
136,Oxaoxetine136,Antidiabetic,Ibuprofen 200mg,Vitamin B12 Deficiency,84.63,AeroHealth,"diarrhea, vomiting, dizziness",False
137,Curazol137,Antacid,Azithromycin 250mg,Prostate Enlargement,90.58,HealthPlus,"constipation, dry cough",True
138,Quinmab138,Vitamin,Paracetamol 500mg,Throat Cancer,47.08,ZenPharm,"headache, palpitations, vomiting",True
139,Quinprazole139,Analgesic,Paracetamol 500mg,Sinusitis,22.59,PharmaCore,"dizziness, headache",True
140,Fluorsone140,Antibiotic,Paracetamol 500mg,Cushing’s Syndrome,28.32,PharmaCore,"drowsiness, nausea",False
141,Naprozol141,Antibiotic,Amlodipine 5mg,Rheumatism,45.47,HealthPlus,"nausea, palpitations",False
142,Hydromab142,Antifungal,Metformin 500mg,Aging,41.09,MedicaLife,headache,True
143,Curazol143,Antacid,Amlodipine 5mg,Aging,3.24,BioHeal,"drowsiness, palpitations",False
144,Dolopril144,Antibiotic,Losartan 50mg,Arthritis,4.02,NovaMed,"dry mouth, drowsiness",False
145,Naproprazole145,Antifungal,Ibuprofen 200mg,Allergic Reaction,87.88,ZenPharm,"stomach upset, headache",True
146,Tetradine146,Antipyretic,Ibuprofen 200mg,Allergic Rhinitis,51.51,NovaMed,"constipation, dry cough",True
147,Naprooxetine147,Antifungal,Cetirizine 10mg,Measles,57.14,BioHeal,"drowsiness, constipation, dry mouth",True
148,Dolostat148,Analgesic,Metformin 500mg,Hyperthyroidism,71.16,NovaMed,"rash, photosensitivity",False
149,Erypril149,Antibiotic,Omeprazole 20mg,Food Poisoning,6.36,AeroHealth,headache,False
150,Tetraoxetine150,Antacid,Amoxicillin 500mg,Cushing’s Syndrome,88.79,ZenPharm,"diarrhea, rash, insomnia",True
151,Quinol151,Bronchodilator,Cetirizine 10mg,Asthma,44.81,BioHeal,"palpitations, photosensitivity",False
152,Tetrain152,Antihistamine,Amoxicillin 500mg,UTI,11.03,ZenPharm,"headache, dizziness",True
153,Fluoroxetine153,Antidepressant,Metformin 500mg,Sepsis,49.88,HealthPlus,"dry mouth, photosensitivity, palpitations",False
154,Paramab154,Analgesic,Omeprazole 20mg,Migraine,77.52,BioHeal,"photosensitivity, headache, dry mouth",True
155,Curaol155,Bronchodilator,Cetirizine 10mg,Low Blood Pressure,33.35,AeroHealth,"headache, nausea",False
156,Erypril156,Antidiabetic,Cetirizine 10mg,Common Cold,97.49,AeroHealth,"diarrhea, dizziness",False
157,Ketomab157,Antibiotic,Losartan 50mg,Tonsillitis,72.17,HealthPlus,"vomiting, diarrhea",True
158,Quincin158,Antidiabetic,Amlodipine 5mg,Poor Circulation,35.2,ZenPharm,"vomiting, palpitations",False
159,Aceppril159,Antipyretic,Cetirizine 10mg,Allergic Reaction,57.86,ZenPharm,"stomach upset, drowsiness, palpitations",False
160,Paraprazole160,Bronchodilator,Metformin 500mg,Dementia,35.74,ZenPharm,"stomach upset, photosensitivity",False
161,Curaoxetine161,Antihistamine,Losartan 50mg,Dermatitis,16.44,MedicaLife,dizziness,True
162,Ibuzol162,Antidepressant,Salbutamol 100mcg,Generalized Anxiety Disorder,70.9,MedicaLife,dry mouth,False
163,Curamab163,Antacid,Amlodipine 5mg,Heart Attack,38.71,BioHeal,"palpitations, insomnia",False
164,Bactoolol164,Bronchodilator,Paracetamol 500mg,Tuberculosis,94.08,PharmaCore,drowsiness,True
165,Dolodine165,Bronchodilator,Losartan 50mg,Dengue Fever,15.94,ZenPharm,"insomnia, drowsiness, rash",False
166,Sulfmab166,Antihypertensive,Paracetamol 500mg,Common Cold,76.4,ZenPharm,"drowsiness, dry mouth",True
167,Sulfazole167,Vitamin,Metformin 500mg,Autoimmune Disease,32.4,BioHeal,"dry mouth, insomnia, drowsiness",False
168,Paraazole168,Antacid,Salbutamol 100mcg,Blood Disorder,45.8,CuraPharm,dizziness,False
169,Dolozol169,Bronchodilator,Amlodipine 5mg,Infection,2.51,BioHeal,vomiting,True
170,Rifadine170,Antifungal,Paracetamol 500mg,Hemorrhoids,12.78,CuraPharm,stomach upset,True
171,Rifaol171,Vitamin,Azithromycin 250mg,Anxiety Disorder,20.91,NovaMed,"rash, dry mouth",False
172,Fluorpril172,Vitamin,Omeprazole 20mg,Low Fiber Diet,41.08,NovaMed,drowsiness,False
173,Fluorstat173,Antidiabetic,Paracetamol 500mg,HIV,92.27,PharmaCore,"constipation, dizziness",False
174,Quinstat174,Vitamin,Losartan 50mg,Dehydration,3.3,AeroHealth,"stomach upset, insomnia, constipation",True
175,Vitasone175,Antibiotic,Salbutamol 100mcg,Esophagitis,88.0,MedicaLife,nausea,False
176,Ibuprazole176,Bronchodilator,Ibuprofen 200mg,Gastritis,81.95,CuraPharm,"insomnia, photosensitivity, diarrhea",True
177,Acepin177,Antifungal,Amoxicillin 500mg,IBS,58.36,MedicaLife,"rash, dry cough, drowsiness",True
178,Vitaamide178,Antacid,Omeprazole 20mg,Diabetes,42.19,MedicaLife,dry cough,False
179,Acepamide179,Analgesic,Losartan 50mg,Cushing’s Syndrome,17.97,BioHeal,"headache, rash",True
180,Hydrooxetine180,Antibiotic,Omeprazole 20mg,Cholera,13.27,MedicaLife,"photosensitivity, nausea",True
181,Gentastat181,Antidiabetic,Paracetamol 500mg,Dehydration,61.65,NovaMed,"palpitations, photosensitivity",False
182,Metroazole182,Antibiotic,Amoxicillin 500mg,Malaria,91.26,NovaMed,headache,False
183,Sulfdine183,Vitamin,Metformin 500mg,Heart Attack,17.24,HealthPlus,"dry cough, vomiting",True
184,Bactool184,Analgesic,Paracetamol 500mg,Infection,51.59,MedicaLife,dry cough,False
185,Bactocin185,Antacid,Metformin 500mg,Blood Disorder,91.74,HealthPlus,"stomach upset, insomnia, drowsiness",False
186,Tetraol186,Antifungal,Paracetamol 500mg,Gastritis,33.55,AeroHealth,"nausea, stomach upset",True
187,Tetraamide187,Antihypertensive,Ibuprofen 200mg,Pneumonia,88.52,NovaMed,"palpitations, stomach upset, insomnia",False
188,Ibumab188,Antacid,Azithromycin 250mg,PTSD,76.99,CuraPharm,"headache, insomnia",True
189,Lactozol189,Vitamin,Cetirizine 10mg,Dengue Fever,69.85,HealthPlus,"photosensitivity, rash, headache",True
190,Bactocin190,Antihistamine,Omeprazole 20mg,Dehydration,36.87,MedicaLife,drowsiness,True
191,Lactooxetine191,Antipyretic,Amlodipine 5mg,Heart Attack,49.3,CuraPharm,"dry mouth, drowsiness",False
192,Naprocin192,Antiviral,Paracetamol 500mg,IBS,80.07,PharmaCore,"diarrhea, headache, constipation",False
193,Lactool193,Antihistamine,Cetirizine 10mg,Thyroid Disorder,5.46,NovaMed,"drowsiness, stomach upset",True
194,Sulfzol194,Antipyretic,Amoxicillin 500mg,Leukemia,57.66,CuraPharm,"dry mouth, photosensitivity, palpitations",True
195,Metromab195,Antihypertensive,Losartan 50mg,Eczema,27.02,MedicaLife,"insomnia, nausea, drowsiness",True
196,Vitamab196,Antihistamine,Amoxicillin 500mg,Otitis Media,48.13,MedicaLife,stomach upset,True
197,Quinamide197,Antihypertensive,Amoxicillin 500mg,Gallstones,9.09,MedicaLife,"rash, stomach upset, diarrhea",True
198,Curain198,Antibiotic,Amlodipine 5mg,Sleep Apnea,85.75,NovaMed,"dizziness, stomach upset",False
199,Paraolol199,Antipyretic,Salbutamol 100mcg,Gallstones,4.06,CuraPharm,"stomach upset, vomiting",False
200,Oxaol200,Antihypertensive,Ibuprofen 200mg,Gallstones,90.44,MedicaLife,insomnia,True
201,Vitavir201,Antibiotic,Amoxicillin 500mg,Rheumatism,85.61,HealthPlus,"palpitations, headache, diarrhea",False
202,Vitaamide202,Bronchodilator,Amoxicillin 500mg,UTI,89.51,MedicaLife,"rash, palpitations",True
203,Ketocin203,Antacid,Salbutamol 100mcg,Herniated Disc,86.27,BioHeal,constipation,True
204,Sulfmab204,Antibiotic,Paracetamol 500mg,Strep Throat,30.46,CuraPharm,"dry mouth, palpitations, dry cough",False
205,Naprozol205,Analgesic,Salbutamol 100mcg,Cluster Headache,25.43,BioHeal,drowsiness,False
206,Ketool206,Bronchodilator,Cetirizine 10mg,Alzheimer’s Disease,65.41,ZenPharm,"dry mouth, constipation",True
207,Gentavir207,Antifungal,Paracetamol 500mg,Tuberculosis,84.64,AeroHealth,"headache, vomiting, dry cough",False
208,Curain208,Antidiabetic,Losartan 50mg,COPD,87.93,ZenPharm,"nausea, drowsiness",True
209,Erycin209,Antipyretic,Amlodipine 5mg,Appendicitis,53.36,NovaMed,"photosensitivity, dizziness, dry mouth",True
210,Lactozol210,Antibiotic,Paracetamol 500mg,PTSD,57.19,CuraPharm,"rash, diarrhea, stomach upset",True
211,Doloprazole211,Antihypertensive,Paracetamol 500mg,Anxiety,17.33,BioHeal,"photosensitivity, insomnia",True
212,Ibucin212,Antiviral,Cetirizine 10mg,Stroke,55.81,HealthPlus,"headache, dry mouth",False
213,Ketocin213,Antidepressant,Losartan 50mg,Thyroid Disorder,55.89,BioHeal,stomach upset,False
214,Ibuamide214,Antidiabetic,Cetirizine 10mg,Anxiety Disorder,60.41,BioHeal,"dry cough, constipation, rash",True
215,Fluorstat215,Antifungal,Salbutamol 100mcg,Cataract,96.94,NovaMed,diarrhea,True
216,Curadine216,Antibiotic,Losartan 50mg,Vitamin Deficiency,92.88,BioHeal,"palpitations, drowsiness",False
217,Ketoolol217,Vitamin,Salbutamol 100mcg,Allergic Rhinitis,57.62,ZenPharm,dizziness,False
218,Acepmab218,Antipyretic,Amlodipine 5mg,Viral Fever,35.83,NovaMed,"constipation, drowsiness, nausea",True
219,Metrosone219,Bronchodilator,Losartan 50mg,Poor Circulation,31.02,HealthPlus,dry mouth,False
220,Dolovir220,Antihypertensive,Amoxicillin 500mg,Allergic Reaction,59.67,ZenPharm,"nausea, insomnia",True
221,Fluoramide221,Analgesic,Ibuprofen 200mg,Vertigo,20.36,AeroHealth,dry cough,True
222,Oxadine222,Bronchodilator,Cetirizine 10mg,Common Cold,6.05,AeroHealth,"diarrhea, dry mouth, dry cough",True
223,Oxamab223,Antifungal,Amlodipine 5mg,Low Blood Pressure,32.15,HealthPlus,"dry mouth, stomach upset, diarrhea",False
224,Lactoamide224,Analgesic,Omeprazole 20mg,Overeating,33.03,BioHeal,headache,True
225,Ibuvir225,Antiviral,Salbutamol 100mcg,HIV,34.26,HealthPlus,dry mouth,False
226,Fluorzol226,Antihistamine,Omeprazole 20mg,COPD,48.63,AeroHealth,insomnia,False
227,Fluorazole227,Antihistamine,Amlodipine 5mg,Chronic Obstructive Pulmonary Disease,99.56,ZenPharm,"vomiting, drowsiness, rash",False
228,Ketozol228,Antacid,Paracetamol 500mg,Lung Cancer,44.79,ZenPharm,"dizziness, headache",True
229,Hydrodine229,Antihypertensive,Paracetamol 500mg,Stress,37.22,CuraPharm,"vomiting, rash, dry mouth",False
230,Eryolol230,Antihypertensive,Cetirizine 10mg,Vertigo,84.21,AeroHealth,"vomiting, diarrhea, constipation",True
231,Curadine231,Antihistamine,Ibuprofen 200mg,Costochondritis,65.38,AeroHealth,"dry mouth, photosensitivity",False
232,Hydromab232,Antibiotic,Omeprazole 20mg,Hyperthyroidism,28.32,MedicaLife,"dizziness, vomiting, diarrhea",False
233,Naprosone233,Antifungal,Amoxicillin 500mg,Irritable Bowel Syndrome,31.04,PharmaCore,"vomiting, dry mouth",False
234,Quinin234,Antidiabetic,Metformin 500mg,Ulcer,92.08,ZenPharm,"palpitations, rash",False
235,Tetraol235,Antiviral,Azithromycin 250mg,Sepsis,45.73,CuraPharm,photosensitivity,False
236,Erystat236,Antifungal,Metformin 500mg,Vertigo,39.78,NovaMed,"nausea, dry cough, photosensitivity",False
237,Ibumab237,Bronchodilator,Metformin 500mg,Gallstones,95.25,BioHeal,"palpitations, headache",False
238,Rifamab238,Antifungal,Salbutamol 100mcg,Gastroenteritis,17.01,NovaMed,"headache, drowsiness, rash",False
239,Oxain239,Antidepressant,Cetirizine 10mg,Hypothyroidism,19.15,NovaMed,"diarrhea, vomiting, dizziness",False
