condition_id,condition,precautions,severity
65,Migraine,Migraine: Avoid alcohol and smoking; adhere to medication schedule. (tip #65),Moderate
66,Gastroenteritis,Gastroenteritis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #66),Mild
67,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease: Keep follow-up appointments and report new or worsening symptoms. (tip #67),Moderate
68,Malaria,Malaria: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #68),Mild
69,Anemia,Anemia: Keep follow-up appointments and report new or worsening symptoms. (tip #69),Moderate
70,Urinary Tract Infection,Urinary Tract Infection: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #70),Mild
71,Pneumonia,Pneumonia: Maintain a balanced diet; avoid known triggers and allergens. (tip #71),Mild
72,Stroke,"Stroke: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #72)",Moderate
73,Sinus Headache,Sinus Headache: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #73),Mild
74,Anemia,Anemia: Avoid alcohol and smoking; adhere to medication schedule. (tip #74),Severe
75,Urinary Incontinence,Urinary Incontinence: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #75),Mild
76,Eczema,Eczema: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #76),Moderate
77,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Avoid alcohol and smoking; adhere to medication schedule. (tip #77),Severe
78,Otitis Media,Otitis Media: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #78),Moderate
79,Bacterial Vaginosis,Bacterial Vaginosis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #79),Moderate
80,Sinusitis,Sinusitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #80),Mild
81,Stroke,Stroke: Avoid alcohol and smoking; adhere to medication schedule. (tip #81),Moderate
82,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #82),Severe
83,Arthritis,Arthritis: Avoid alcohol and smoking; adhere to medication schedule. (tip #83),Severe
84,Cellulitis,Cellulitis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #84),Mild
85,Yeast Infection,Yeast Infection: Ensure adequate rest and hydration; monitor symptom progression. (tip #85),Moderate
86,Insomnia,Insomnia: Ensure adequate rest and hydration; monitor symptom progression. (tip #86),Severe
87,Sinus Headache,Sinus Headache: Maintain a balanced diet; avoid known triggers and allergens. (tip #87),Mild
88,Cellulitis,Cellulitis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #88),Mild
89,Mononucleosis,Mononucleosis: Avoid alcohol and smoking; adhere to medication schedule. (tip #89),Severe
90,Dementia,Dementia: Maintain a balanced diet; avoid known triggers and allergens. (tip #90),Moderate
91,Septic Arthritis,Septic Arthritis: Avoid alcohol and smoking; adhere to medication schedule. (tip #91),Mild
92,Tuberculosis,Tuberculosis: Avoid alcohol and smoking; adhere to medication schedule. (tip #92),Mild
93,Panic Disorder,Panic Disorder: Avoid alcohol and smoking; adhere to medication schedule. (tip #93),Mild
94,Bronchitis,Bronchitis: Keep follow-up appointments and report new or worsening symptoms. (tip #94),Severe
95,Urinary Incontinence,Urinary Incontinence: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #95),Mild
96,Hyperthyroidism,Hyperthyroidism: Keep follow-up appointments and report new or worsening symptoms. (tip #96),Moderate
97,Conjunctivitis,Conjunctivitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #97),Moderate
98,Anaphylaxis,Anaphylaxis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #98),Mild
99,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #99),Mild
100,Urinary Incontinence,Urinary Incontinence: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #100),Mild
101,Meningitis,Meningitis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #101),Severe
102,Hyperthyroidism,Hyperthyroidism: Ensure adequate rest and hydration; monitor symptom progression. (tip #102),Mild
103,Lyme Disease,Lyme Disease: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #103),Moderate
104,Food Poisoning,Food Poisoning: Maintain a balanced diet; avoid known triggers and allergens. (tip #104),Mild
105,COPD Exacerbation,COPD Exacerbation: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #105),Severe
106,Hyperglycemia,Hyperglycemia: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #106),Mild
107,Otitis Externa,Otitis Externa: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #107),Moderate
108,Gallstones,Gallstones: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #108),Severe
109,Septic Arthritis,Septic Arthritis: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #109),Moderate
110,Psoriasis,Psoriasis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #110),Mild
111,COPD Exacerbation,COPD Exacerbation: Maintain a balanced diet; avoid known triggers and allergens. (tip #111),Severe
112,Gastritis,Gastritis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #112),Severe
113,Lung Fibrosis,Lung Fibrosis: Keep follow-up appointments and report new or worsening symptoms. (tip #113),Severe
114,Migraine,Migraine: Keep follow-up appointments and report new or worsening symptoms. (tip #114),Moderate
115,Meningitis,"Meningitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #115)",Mild
116,Fibromyalgia,Fibromyalgia: Maintain a balanced diet; avoid known triggers and allergens. (tip #116),Moderate
117,Allergic Rhinitis,Allergic Rhinitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #117),Mild
118,Gastroenteritis,"Gastroenteritis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #118)",Mild
119,Yeast Infection,Yeast Infection: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #119),Severe
120,Diabetes Mellitus,Diabetes Mellitus: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #120),Mild
121,Pneumonia,Pneumonia: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #121),Moderate
122,Anaphylaxis,Anaphylaxis: Maintain a balanced diet; avoid known triggers and allergens. (tip #122),Severe
123,Lyme Disease,Lyme Disease: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #123),Moderate
124,Encephalitis,Encephalitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #124),Mild
125,Dengue Fever,Dengue Fever: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #125),Mild
126,Urinary Incontinence,Urinary Incontinence: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #126),Moderate
127,Anxiety Disorder,Anxiety Disorder: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #127),Moderate
128,Conjunctivitis,Conjunctivitis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #128),Severe
129,Fibromyalgia,Fibromyalgia: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #129),Moderate
130,Lyme Disease,Lyme Disease: Maintain a balanced diet; avoid known triggers and allergens. (tip #130),Moderate
131,Hypothyroidism,Hypothyroidism: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #131),Mild
132,Sepsis,Sepsis: Ensure adequate rest and hydration; monitor symptom progression. (tip #132),Severe
133,Costochondritis,Costochondritis: Maintain a balanced diet; avoid known triggers and allergens. (tip #133),Severe
134,Hypothyroidism,Hypothyroidism: Ensure adequate rest and hydration; monitor symptom progression. (tip #134),Severe
135,Food Poisoning,Food Poisoning: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #135),Mild
136,Urinary Tract Infection,Urinary Tract Infection: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #136),Mild
137,Kidney Stones,Kidney Stones: Ensure adequate rest and hydration; monitor symptom progression. (tip #137),Severe
138,Gastritis,Gastritis: Ensure adequate rest and hydration; monitor symptom progression. (tip #138),Mild
139,Depression,Depression: Maintain a balanced diet; avoid known triggers and allergens. (tip #139),Severe
140,Rhinitis,Rhinitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #140),Severe
141,Psoriasis,Psoriasis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #141),Severe
142,Food Poisoning,Food Poisoning: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #142),Moderate
143,Stress,Stress: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #143),Moderate
144,Conjunctivitis,Conjunctivitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #144),Severe
145,Irritable Bowel Syndrome,"Irritable Bowel Syndrome: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #145)",Mild
146,Angina,Angina: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #146),Moderate
147,Fibromyalgia,"Fibromyalgia: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #147)",Severe
148,Kidney Stones,Kidney Stones: Avoid alcohol and smoking; adhere to medication schedule. (tip #148),Mild
149,Hyperglycemia,Hyperglycemia: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #149),Severe
150,Allergic Rhinitis,Allergic Rhinitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #150),Severe
151,Gastritis,Gastritis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #151),Severe
152,Heart Attack,Heart Attack: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #152),Severe
153,Bronchiectasis,Bronchiectasis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #153),Severe
154,Lyme Disease,"Lyme Disease: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #154)",Severe
155,Urinary Incontinence,Urinary Incontinence: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #155),Severe
156,Otitis Media,Otitis Media: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #156),Moderate
157,Septic Arthritis,Septic Arthritis: Avoid alcohol and smoking; adhere to medication schedule. (tip #157),Severe
158,Migraine,Migraine: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #158),Moderate
159,Depression,"Depression: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #159)",Severe
160,Anaphylaxis,Anaphylaxis: Keep follow-up appointments and report new or worsening symptoms. (tip #160),Mild
161,Stress,Stress: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #161),Mild
162,Migraine,Migraine: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #162),Mild
163,Gallstones,Gallstones: Ensure adequate rest and hydration; monitor symptom progression. (tip #163),Moderate
164,Gastritis,Gastritis: Maintain a balanced diet; avoid known triggers and allergens. (tip #164),Severe
165,GERD,GERD: Ensure adequate rest and hydration; monitor symptom progression. (tip #165),Moderate
166,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Keep follow-up appointments and report new or worsening symptoms. (tip #166),Moderate
167,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #167),Mild
168,Insomnia,Insomnia: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #168),Severe
169,Gastritis,Gastritis: Ensure adequate rest and hydration; monitor symptom progression. (tip #169),Mild
170,Rhinitis,Rhinitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #170),Mild
171,Lyme Disease,"Lyme Disease: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #171)",Severe
172,Allergic Reaction,Allergic Reaction: Avoid alcohol and smoking; adhere to medication schedule. (tip #172),Mild
173,GERD,GERD: Maintain a balanced diet; avoid known triggers and allergens. (tip #173),Severe
174,Lung Fibrosis,Lung Fibrosis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #174),Mild
175,Urinary Incontinence,Urinary Incontinence: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #175),Mild
176,Hypoglycemia,Hypoglycemia: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #176),Mild
177,Insomnia,Insomnia: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #177),Moderate
178,Urinary Tract Infection,Urinary Tract Infection: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #178),Mild
179,Pancreatitis,Pancreatitis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #179),Mild
180,Panic Disorder,Panic Disorder: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #180),Mild
181,Arthritis,Arthritis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #181),Mild
182,Dengue Fever,Dengue Fever: Avoid alcohol and smoking; adhere to medication schedule. (tip #182),Severe
183,Anemia,Anemia: Maintain a balanced diet; avoid known triggers and allergens. (tip #183),Mild
184,Hyperthyroidism,Hyperthyroidism: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #184),Severe
185,Depression,Depression: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #185),Moderate
186,Pancreatitis,Pancreatitis: Keep follow-up appointments and report new or worsening symptoms. (tip #186),Mild
187,Allergic Reaction,Allergic Reaction: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #187),Moderate
188,Shingles,Shingles: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #188),Severe
189,GERD,GERD: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #189),Severe
190,Otitis Externa,Otitis Externa: Keep follow-up appointments and report new or worsening symptoms. (tip #190),Severe
191,Diabetes Mellitus,Diabetes Mellitus: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #191),Mild
192,Asthma,Asthma: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #192),Mild
193,Eczema,Eczema: Maintain a balanced diet; avoid known triggers and allergens. (tip #193),Mild
194,Bronchitis,Bronchitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #194),Moderate
195,Fibromyalgia,Fibromyalgia: Maintain a balanced diet; avoid known triggers and allergens. (tip #195),Moderate
196,Appendicitis,Appendicitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #196),Mild
197,Urinary Incontinence,Urinary Incontinence: Ensure adequate rest and hydration; monitor symptom progression. (tip #197),Moderate
198,Pancreatitis,Pancreatitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #198),Severe
199,Otitis Media,Otitis Media: Keep follow-up appointments and report new or worsening symptoms. (tip #199),Moderate
200,Urinary Tract Infection,Urinary Tract Infection: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #200),Severe
201,Pneumonia,Pneumonia: Maintain a balanced diet; avoid known triggers and allergens. (tip #201),Moderate
202,Asthma,Asthma: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #202),Mild
203,Sinus Headache,"Sinus Headache: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #203)",Moderate
204,Anxiety Disorder,Anxiety Disorder: Ensure adequate rest and hydration; monitor symptom progression. (tip #204),Severe
205,Tendonitis,"Tendonitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #205)",Moderate
206,Tuberculosis,"Tuberculosis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #206)",Severe
207,Bacterial Vaginosis,"Bacterial Vaginosis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #207)",Moderate
208,Gallstones,"Gallstones: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #208)",Moderate
209,Arthritis,"Arthritis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #209)",Severe
210,Sinusitis,Sinusitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #210),Mild
211,Urinary Tract Infection,Urinary Tract Infection: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #211),Moderate
212,Mononucleosis,Mononucleosis: Ensure adequate rest and hydration; monitor symptom progression. (tip #212),Moderate
213,Migraine,Migraine: Maintain a balanced diet; avoid known triggers and allergens. (tip #213),Moderate
214,Heart Attack,Heart Attack: Maintain a balanced diet; avoid known triggers and allergens. (tip #214),Severe
215,Cellulitis,Cellulitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #215),Moderate
216,Hypothyroidism,"Hypothyroidism: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #216)",Moderate
217,Kidney Stones,Kidney Stones: Maintain a balanced diet; avoid known triggers and allergens. (tip #217),Mild
218,Gastritis,Gastritis: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #218),Severe
219,Gallstones,Gallstones: Maintain a balanced diet; avoid known triggers and allergens. (tip #219),Severe
220,Sinusitis,Sinusitis: Maintain a balanced diet; avoid known triggers and allergens. (tip #220),Severe
221,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #221),Moderate
222,Insomnia,Insomnia: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #222),Severe
223,Mononucleosis,Mononucleosis: Keep follow-up appointments and report new or worsening symptoms. (tip #223),Moderate
224,Bronchiectasis,Bronchiectasis: Ensure adequate rest and hydration; monitor symptom progression. (tip #224),Moderate
225,Otitis Externa,"Otitis Externa: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #225)",Severe
226,Pancreatitis,Pancreatitis: Avoid alcohol and smoking; adhere to medication schedule. (tip #226),Severe
227,Bacterial Vaginosis,Bacterial Vaginosis: Maintain a balanced diet; avoid known triggers and allergens. (tip #227),Moderate
228,Anaphylaxis,Anaphylaxis: Maintain a balanced diet; avoid known triggers and allergens. (tip #228),Severe
229,Arthritis,Arthritis: Maintain a balanced diet; avoid known triggers and allergens. (tip #229),Mild
230,Food Poisoning,Food Poisoning: Ensure adequate rest and hydration; monitor symptom progression. (tip #230),Moderate
231,Hepatitis,Hepatitis: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #231),Mild
232,Anxiety Disorder,Anxiety Disorder: Keep follow-up appointments and report new or worsening symptoms. (tip #232),Severe
233,Rhinitis,"Rhinitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #233)",Moderate
234,Hyperglycemia,Hyperglycemia: Keep follow-up appointments and report new or worsening symptoms. (tip #234),Moderate
235,Chronic Obstructive Pulmonary Disease,Chronic Obstructive Pulmonary Disease: Ensure adequate rest and hydration; monitor symptom progression. (tip #235),Moderate
236,Stroke,Stroke: Avoid alcohol and smoking; adhere to medication schedule. (tip #236),Mild
237,Depression,Depression: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #237),Severe
238,Irritable Bowel Syndrome,Irritable Bowel Syndrome: Avoid strenuous activity; follow prescribed medications and follow-up. (tip #238),Mild
239,Fibromyalgia,Fibromyalgia: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #239),Severe
240,Costochondritis,Costochondritis: Maintain a balanced diet; avoid known triggers and allergens. (tip #240),Mild
241,Meningitis,Meningitis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #241),Severe
242,Yeast Infection,Yeast Infection: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #242),Moderate
243,Meningitis,Meningitis: Ensure adequate rest and hydration; monitor symptom progression. (tip #243),Moderate
244,Hypertension,Hypertension: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #244),Moderate
245,Hypertension,Hypertension: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #245),Severe
246,Hyperthyroidism,Hyperthyroidism: Monitor temperature and oxygen levels; seek urgent care if abnormal. (tip #246),Mild
247,Pharyngitis,"Pharyngitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #247)",Moderate
248,Shingles,"Shingles: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #248)",Severe
249,Dengue Fever,Dengue Fever: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #249),Moderate
250,GERD,GERD: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #250),Moderate
251,Depression,Depression: Ensure adequate rest and hydration; monitor symptom progression. (tip #251),Mild
252,Asthma,Asthma: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #252),Mild
253,Gastroenteritis,Gastroenteritis: Avoid self-medication; consult a healthcare professional if symptoms persist. (tip #253),Severe
254,Diabetes Mellitus,Diabetes Mellitus: Avoid alcohol and smoking; adhere to medication schedule. (tip #254),Severe
255,Otitis Media,Otitis Media: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #255),Moderate
256,Yeast Infection,Yeast Infection: Maintain a balanced diet; avoid known triggers and allergens. (tip #256),Mild
257,Dengue Fever,Dengue Fever: Avoid alcohol and smoking; adhere to medication schedule. (tip #257),Moderate
258,Pharyngitis,"Pharyngitis: Keep wound/site clean; report increasing pain, swelling, or discharge. (tip #258)",Severe
259,Septic Arthritis,Septic Arthritis: Follow dietary restrictions as advised; avoid spicy or greasy foods. (tip #259),Mild
260,Anemia,Anemia: Ensure adequate rest and hydration; monitor symptom progression. (tip #260),Mild
261,Allergic Rhinitis,Allergic Rhinitis: Avoid alcohol and smoking; adhere to medication schedule. (tip #261),Mild
262,COPD Exacerbation,COPD Exacerbation: Seek immediate medical help if symptoms worsen or breathing difficulty occurs. (tip #262),Severe
